fips,cbsa_sub,area_name,nmdda_2023
53049,NCNTY53049N53049,"Pacific County, WA",1
5013,NCNTY05013N05013,"Calhoun County, AR",1
5099,NCNTY05099N05099,"Nevada County, AR",1
2220,NCNTY02220N02220,"Sitka City and Borough, AK",1
41045,NCNTY41045N41045,"Malheur County, OR",1
32023,NCNTY32023N32023,"Nye County, NV",1
28151,NCNTY28151N28151,"Washington County, MS",1
28011,NCNTY28011N28011,"Bolivar County, MS",1
28001,NCNTY28001N28001,"Adams County, MS",1
28099,NCNTY28099N28099,"Neshoba County, MS",1
28083,NCNTY28083N28083,"Leflore County, MS",1
28123,NCNTY28123N28123,"Scott County, MS",1
28117,NCNTY28117N28117,"Prentiss County, MS",1
28139,NCNTY28139N28139,"Tippah County, MS",1
28027,NCNTY28027N28027,"Coahoma County, MS",1
28079,NCNTY28079N28079,"Leake County, MS",1
28141,NCNTY28141N28141,"Tishomingo County, MS",1
28025,NCNTY28025N28025,"Clay County, MS",1
28007,NCNTY28007N28007,"Attala County, MS",1
28159,NCNTY28159N28159,"Winston County, MS",1
28017,NCNTY28017N28017,"Chickasaw County, MS",1
28061,NCNTY28061N28061,"Jasper County, MS",1
28147,NCNTY28147N28147,"Walthall County, MS",1
28013,NCNTY28013N28013,"Calhoun County, MS",1
28135,NCNTY28135N28135,"Tallahatchie County, MS",1
28161,NCNTY28161N28161,"Yalobusha County, MS",1
28065,NCNTY28065N28065,"Jefferson Davis County, MS",1
28103,NCNTY28103N28103,"Noxubee County, MS",1
28097,NCNTY28097N28097,"Montgomery County, MS",1
28069,NCNTY28069N28069,"Kemper County, MS",1
28157,NCNTY28157N28157,"Wilkinson County, MS",1
28053,NCNTY28053N28053,"Humphreys County, MS",1
28037,NCNTY28037N28037,"Franklin County, MS",1
28009,NCNTY28009N28009,"Benton County, MS",1
28063,NCNTY28063N28063,"Jefferson County, MS",1
28119,NCNTY28119N28119,"Quitman County, MS",1
28125,NCNTY28125N28125,"Sharkey County, MS",1
48465,NCNTY48465N48465,"Val Verde County, TX",1
1047,NCNTY01047N01047,"Dallas County, AL",0
21213,NCNTY21213N21213,"Simpson County, KY",0
16079,NCNTY16079N16079,"Shoshone County, ID",0
48159,NCNTY48159N48159,"Franklin County, TX",0
8071,NCNTY08071N08071,"Las Animas County, CO",0
4011,NCNTY04011N04011,"Greenlee County, AZ",0
16003,NCNTY16003N16003,"Adams County, ID",0
48137,NCNTY48137N48137,"Edwards County, TX",0
23009,NCNTY23009N23009,"Hancock County, ME",0
48083,NCNTY48083N48083,"Coleman County, TX",0
48319,NCNTY48319N48319,"Mason County, TX",0
47117,NCNTY47117N47117,"Marshall County, TN",0
50001,NCNTY50001N50001,"Addison County, VT",0
28057,NCNTY28057N28057,"Itawamba County, MS",0
2110,NCNTY02110N02110,"Juneau City and Borough, AK",0
29201,NCNTY29201N29201,"Scott County, MO",0
48223,NCNTY48223N48223,"Hopkins County, TX",0
41001,NCNTY41001N41001,"Baker County, OR",0
40035,NCNTY40035N40035,"Craig County, OK",0
8055,NCNTY08055N08055,"Huerfano County, CO",0
28003,NCNTY28003N28003,"Alcorn County, MS",0
35031,NCNTY35031N35031,"McKinley County, NM",0
35035,NCNTY35035N35035,"Otero County, NM",0
35039,NCNTY35039N35039,"Rio Arriba County, NM",0
24011,NCNTY24011N24011,"Caroline County, MD",0
35047,NCNTY35047N35047,"San Miguel County, NM",0
35006,NCNTY35006N35006,"Cibola County, NM",0
35029,NCNTY35029N35029,"Luna County, NM",0
35053,NCNTY35053N35053,"Socorro County, NM",0
35007,NCNTY35007N35007,"Colfax County, NM",0
35051,NCNTY35051N35051,"Sierra County, NM",0
35037,NCNTY35037N35037,"Quay County, NM",0
35019,NCNTY35019N35019,"Guadalupe County, NM",0
35023,NCNTY35023N35023,"Hidalgo County, NM",0
35003,NCNTY35003N35003,"Catron County, NM",0
