zip_code,cbsa_sub,area_name,sdda_2023
53154,METRO33340M33340,"Milwaukee-Waukesha-West Allis, WI MSA",0
53130,METRO33340M33340,"Milwaukee-Waukesha-West Allis, WI MSA",0
12148,METRO10580M10580,"Albany-Schenectady-Troy, NY MSA",0
53103,METRO33340M33340,"Milwaukee-Waukesha-West Allis, WI MSA",0
76935,METRO41660M41660,"San Angelo, TX HUD Metro FMR Area",0
95323,METRO33700M33700,"Modesto, CA MSA",0
76940,METRO41660M41660,"San Angelo, TX HUD Metro FMR Area",0
79922,METRO21340M21340,"El Paso, TX HUD Metro FMR Area",0
62914,METRO16020M16020,"Cape Girardeau, MO-IL MSA",0
74055,METRO46140M46140,"Tulsa, OK HUD Metro FMR Area",0
21875,METRO41540M41540,"Salisbury, MD HUD Metro FMR Area",0
21865,METRO41540M41540,"Salisbury, MD HUD Metro FMR Area",0
21814,METRO41540M41540,"Salisbury, MD HUD Metro FMR Area",0
21840,METRO41540M41540,"Salisbury, MD HUD Metro FMR Area",0
32207,METRO27260M27260,"Jacksonville, FL HUD Metro FMR Area",0
46307,METRO16980MM2960,"Gary, IN HUD Metro FMR Area",0
43230,METRO18140M18140,"Columbus, OH HUD Metro FMR Area",0
28306,METRO22180M22180,"Fayetteville, NC HUD Metro FMR Area",0
3103,METRO31700MM4760,"Manchester, NH HUD Metro FMR Area",0
43062,METRO18140M18140,"Columbus, OH HUD Metro FMR Area",0
43212,METRO18140M18140,"Columbus, OH HUD Metro FMR Area",0
18109,METRO10900M10900,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",0
43074,METRO18140M18140,"Columbus, OH HUD Metro FMR Area",0
18072,METRO10900M10900,"Allentown-Bethlehem-Easton, PA HUD Metro FMR Area",0
28305,METRO22180M22180,"Fayetteville, NC HUD Metro FMR Area",0
60112,METRO16980MM2050,"DeKalb County, IL HUD Metro FMR Area",0
83301,METRO46300N16083,"Twin Falls County, ID HUD Metro FMR Area",0
28403,METRO48900M48900,"Wilmington, NC HUD Metro FMR Area",0
2538,METRO14460MM1120,"Boston-Cambridge-Quincy, MA-NH HUD Metro FMR Area",0
85141,METRO38060M38060,"Phoenix-Mesa-Scottsdale, AZ MSA",0
23111,METRO40060M40060,"Richmond, VA MSA",0
7504,METRO35620MM0875,"Bergen-Passaic, NJ HUD Metro FMR Area",0
23069,METRO40060M40060,"Richmond, VA MSA",0
7074,METRO35620MM0875,"Bergen-Passaic, NJ HUD Metro FMR Area",0
23047,METRO40060M40060,"Richmond, VA MSA",0
37040,METRO17300M17300,"Clarksville, TN-KY HUD Metro FMR Area",0
85710,METRO46060M46060,"Tucson, AZ MSA",0
78220,METRO41700M41700,"San Antonio-New Braunfels, TX HUD Metro FMR Area",0
84332,METRO30860M30860,"Logan, UT-ID MSA",0
84725,METRO41100M41100,"St. George, UT MSA",0
13661,METRO48060M48060,"Watertown-Fort Drum, NY MSA",0
77665,METRO13140M13140,"Beaumont-Port Arthur, TX MSA",0
8837,METRO35620MM5015,"Middlesex-Somerset-Hunterdon, NJ HUD Metro FMR Area",0
1850,METRO14460MM4560,"Lowell, MA HUD Metro FMR Area",0
98467,METRO42660MM8200,"Tacoma, WA HUD Metro FMR Area",0
8863,METRO35620MM5015,"Middlesex-Somerset-Hunterdon, NJ HUD Metro FMR Area",0
19711,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",0
19808,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",0
19154,METRO37980M37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA",0
